#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,λ_mean(μm),λ_pivot(μm),λ_eff(μm),λ_n(Rieke)(μm),λ_n(Reach)(μm),λ_iso(Rieke)(μm),λ_iso(BM12)(μm),λ_range(μm),Bandwidth(μm),FWHM(μm),Response,zp,f_λ(zp)(ergsec^-1cm^-2(Å)^-1),f_ν(zp)(Jy)
SDSS_g,0.4719,0.4702,0.4673,0.4751,0.4686,0.4730,0.4747,0.1963,0.1158,0.1263,0.2132,20.6442,5.52461E-09,4075.09
SDSS_r,0.6185,0.6176,0.6142,0.6204,0.6166,0.6169,0.6169,0.1723,0.1111,0.1150,0.3170,21.4800,2.55856E-09,3254.86
SDSS_i,0.7500,0.7490,0.7459,0.7519,0.7480,0.7498,0.7483,0.1844,0.1045,0.0683,0.2397,22.1124,1.42903E-09,2674.11
SDSS_z,0.8961,0.8947,0.8925,0.8992,0.8932,0.8933,0.8971,0.2781,0.1125,0.0994,0.0318,22.6604,8.62665E-10,2303.28
DES_u,0.3879,0.3859,0.3881,0.3970,0.3839,0.3774,0.3805,0.0711,0.0278,0.0256,0.0551,20.6479,5.50603E-09,2735.17
DES_g,0.4842,0.4820,0.4776,0.4890,0.4798,0.3811,0.3794,0.1663,0.1141,0.1299,0.2573,20.7091,5.20407E-09,4033.18
DES_r,0.6439,0.6423,0.6374,0.6470,0.6408,0.6379,0.6373,0.1901,0.1383,0.1484,0.3826,21.6052,2.27988E-09,3137.37
DES_i,0.7821,0.7807,0.7758,0.7848,0.7792,0.7626,0.7792,0.4647,0.1393,0.1482,0.1696,22.2523,1.25624E-09,2553.68
DES_z,0.9172,0.9158,0.9139,0.9196,0.9145,0.9574,0.9235,0.6876,0.1270,0.1479,0.1043,22.7104,8.23857E-10,2304.99
DES_Y,0.9877,0.9866,0.9830,0.9893,0.9855,0.9979,0.9898,0.1830,0.0680,0.0664,0.1642,22.9192,6.79718E-10,2207.09
PS1_g,0.4866,0.4849,0.4811,0.4900,0.4832,0.4866,0.4879,0.1707,0.1166,0.1256,0.3430,20.7241,5.13274E-09,4025.81
PS1_r,0.6215,0.6201,0.6156,0.6241,0.6188,0.6195,0.6200,0.1768,0.1318,0.1404,0.5121,21.4901,2.53499E-09,3251.66
PS1_i,0.7545,0.7535,0.7504,0.7564,0.7525,0.7525,0.7531,0.1659,0.1243,0.0698,0.6509,22.1328,1.40245E-09,2656.00
PS1_z,0.8679,0.8674,0.8669,0.8690,0.8669,0.8597,0.8662,0.1519,0.0966,0.1034,0.5596,22.5824,9.26899E-10,2326.30
PS1_Y,0.9633,0.9628,0.9614,0.9645,0.9622,0.9645,0.9621,0.1997,0.0616,0.0629,0.1893,22.8407,7.30650E-10,2259.11
HSC_g,0.4798,0.4780,0.4742,0.4833,0.4762,0.3783,0.4804,0.1653,0.1208,0.1435,0.4406,20.6837,5.32735E-09,4060.04
HSC_r2,0.6226,0.6210,0.6159,0.6257,0.6194,0.6191,0.6199,0.2487,0.1496,0.1504,0.3947,21.4925,2.52933E-09,3253.80
HSC_i2,0.7749,0.7735,0.7690,0.7776,0.7721,0.7731,0.7717,0.2487,0.1495,0.1574,0.3451,22.2207,1.29332E-09,2581.21
HSC_z,0.8913,0.8910,0.8910,0.8919,0.8907,0.8938,0.8906,0.1368,0.0770,0.0778,0.3014,22.6455,8.74601E-10,2316.04
HSC_y,0.9764,0.9759,0.9742,0.9775,0.9754,0.9747,0.9759,0.1877,0.0769,0.0747,0.1860,22.8778,7.06143E-10,2243.31
HSC_NB816,0.8177,0.8177,0.8177,0.8177,0.8177,0.8176,0.8177,0.0333,0.0115,0.0113,0.1771,22.4166,1.07980E-09,2408.26
HSC_NB921,0.9214,0.9214,0.9212,0.9215,0.9214,0.9494,0.9215,0.0383,0.0136,0.0135,0.1729,22.7459,7.97313E-10,2258.02
cfhtls_u,0.3811,0.3803,0.3895,0.3829,0.3794,0.3810,0.3813,0.2267,0.0575,0.0654,0.1078,20.6447,5.52249E-09,2663.85
cfhtls_g,0.4862,0.4844,0.4803,0.4899,0.4826,0.4787,0.3774,0.2072,0.1322,0.1434,0.4045,20.7182,5.16084E-09,4039.99
cfhtls_r,0.6258,0.6248,0.6212,0.6279,0.6237,0.6241,0.6237,0.2001,0.1099,0.1219,0.3026,21.5171,2.47266E-09,3219.42
cfhtls_i,0.7690,0.7678,0.7638,0.7715,0.7666,0.7662,0.7667,0.2264,0.1221,0.1367,0.2594,22.1959,1.32325E-09,2602.12
cfhtls_z,0.8870,0.8859,0.8845,0.8894,0.8848,0.8840,0.8856,0.2270,0.0998,0.0936,0.1217,22.6349,8.83167E-10,2312.11
CFHT_12kx8k_B,0.4407,0.4399,0.4400,0.4424,0.4390,0.3989,0.3879,0.2573,0.0619,0.0605,0.2405,20.4681,6.49800E-09,4193.87
CFHT_12kx8k_R,0.6621,0.6610,0.6578,0.6642,0.6600,0.6591,0.6581,0.1721,0.1077,0.1181,0.6257,21.7046,2.08038E-09,3032.27
CFHT_12kx8k_I,0.8183,0.8159,0.8096,0.8231,0.8136,0.8077,0.8107,0.2585,0.1921,0.2139,0.7409,22.3816,1.11520E-09,2476.56
UKIRT_z,0.8831,0.8826,0.8823,0.8840,0.8822,0.8820,0.8812,0.1403,0.0879,0.0926,0.1194,22.6261,8.90324E-10,2313.54
UKIRT_Y,1.0319,1.0315,1.0299,1.0329,1.0310,1.0307,1.0321,0.1569,0.1008,0.1034,0.1194,23.0663,5.93591E-10,2106.53
UKIRT_J,1.2511,1.2502,1.2462,1.2529,1.2492,1.2476,1.2490,0.2386,0.1475,0.1589,0.1321,23.7842,3.06416E-10,1597.42
UKIRT_H,1.6383,1.6360,1.6271,1.6430,1.6337,1.6313,1.6324,0.4649,0.2773,0.2918,0.1586,24.8055,1.19624E-10,1067.96
UKIRT_K,2.2085,2.2060,2.1950,2.2135,2.2035,2.2017,2.2032,0.5488,0.3276,0.3413,0.1422,25.9737,4.07863E-11,662.09
LSST_u,0.3671,0.3665,0.3743,0.3681,0.3660,0.3748,0.3724,0.0906,0.0547,0.0623,0.0829,20.8555,4.54799E-09,2038.03
LSST_g,0.4827,0.4808,0.4768,0.4864,0.4789,0.4841,0.4859,0.1799,0.1333,0.1426,0.3027,20.7014,5.24138E-09,4041.31
LSST_r,0.6223,0.6210,0.6165,0.6250,0.6197,0.6206,0.6210,0.1685,0.1338,0.1343,0.3605,21.4946,2.52446E-09,3247.24
LSST_i,0.7546,0.7537,0.7506,0.7565,0.7527,0.7527,0.7533,0.1565,0.1209,0.0680,0.3490,22.1336,1.40133E-09,2655.04
LSST_z,0.8691,0.8686,0.8680,0.8702,0.8680,0.8622,0.8681,0.1350,0.0994,0.1022,0.3269,22.5857,9.24140E-10,2325.47
LSST_y,0.9710,0.9705,0.9688,0.9722,0.9699,0.9686,0.9717,0.1828,0.0814,0.0857,0.1259,22.8627,7.16026E-10,2249.34
Bessell_Murphy_U,0.3604,0.3597,0.3674,0.3617,0.3591,0.3674,0.3680,0.1098,0.0621,0.0628,0.5656,20.9560,4.14586E-09,1789.43
Bessell_Murphy_B,0.4391,0.4378,0.4369,0.4420,0.4364,0.4601,0.3914,0.1796,0.0916,0.0894,0.5098,20.4800,6.42715E-09,4108.32
Bessell_Murphy_V,0.5501,0.5489,0.5457,0.5525,0.5477,0.5513,0.5483,0.2495,0.0875,0.0836,0.3507,21.0884,3.66982E-09,3687.87
Bessell_Murphy_R,0.6554,0.6524,0.6436,0.6616,0.6495,0.6483,0.6483,0.3393,0.1485,0.1447,0.4375,21.6485,2.19072E-09,3110.41
Bessell_Murphy_I,0.7996,0.7984,0.7943,0.8023,0.7971,0.7956,0.7960,0.1996,0.1427,0.1498,0.7147,22.3268,1.17294E-09,2493.70
Bessell_Murphy_Bt,0.4198,0.4190,0.4215,0.4214,0.4182,0.3928,0.3941,0.1447,0.0719,0.0719,0.4966,20.4308,6.72504E-09,3938.09
Bessell_Murphy_Vt,0.5315,0.5300,0.5266,0.5345,0.5285,0.5283,0.5295,0.2096,0.0993,0.0963,0.4737,20.9915,4.01224E-09,3759.32
Bessell_Murphy_Hp,0.5429,0.5349,0.5188,0.5595,0.5271,0.5694,0.5352,0.5289,0.2269,0.2117,0.4290,21.0316,3.86674E-09,3691.00
Bessell_88_J,1.2369,1.2347,1.2258,1.2412,1.2325,1.2322,1.2326,0.3593,0.2029,0.2066,0.5308,23.7318,3.21587E-10,1635.23
Bessell_88_H,1.6472,1.6450,1.6365,1.6517,1.6428,1.6406,1.6414,0.3393,0.2845,0.2984,0.8301,24.8263,1.17350E-10,1059.24
Bessell_88_K,2.1683,2.1663,2.1574,2.1721,2.1644,2.1596,2.1637,0.3593,0.2837,0.3048,0.7738,25.9019,4.35755E-11,682.12
Bessell_88_L,3.4838,3.4797,3.4602,3.4919,3.4756,3.4728,3.4733,0.7186,0.4583,0.5103,0.5611,27.8367,7.33364E-12,296.20
Bessell_88_Lprime,3.8285,3.8247,3.8063,3.8362,3.8208,3.8154,3.8182,0.6786,0.5339,0.5880,0.7632,28.2347,5.08305E-12,248.03
Bessell_88_M,4.7369,4.7347,4.7250,4.7411,4.7326,4.7241,4.7325,0.5589,0.3498,0.2044,0.3127,29.1335,2.22134E-12,166.11
GALEX_FUV,0.1539,0.1535,0.1549,0.1546,0.1532,0.1464,0.1469,0.0453,0.0255,0.0228,0.0106,20.4239,6.76768E-09,531.97
GALEX_NUV,0.2316,0.2301,0.2304,0.2345,0.2286,0.2272,0.2269,0.1185,0.0730,0.0796,0.0193,20.8469,4.58413E-09,809.45
WISE_1,3.4003,3.3897,3.3387,3.4204,3.3792,3.3687,3.3722,1.3441,0.6628,0.6358,0.4930,27.7140,8.21074E-12,314.69
WISE_2,4.6520,4.6406,4.5870,4.6746,4.6293,4.6204,4.6199,1.4623,1.0423,1.1073,0.7128,29.0322,2.43841E-12,175.16
WISE_3,12.8114,12.5705,11.3086,13.2371,12.3341,11.6601,12.0626,18.3366,5.5114,6.2771,0.3003,33.1194,5.65225E-14,29.79
WISE_4,22.3753,22.3142,22.0230,22.5013,22.2533,22.1724,22.1950,8.8919,4.1023,3.6087,0.4613,35.7525,5.00014E-15,8.30
IRAS12,11.5406,11.3562,10.4650,11.8905,11.1747,10.8564,10.9983,7.4850,5.9671,6.9307,0.7971,32.7211,8.15757E-14,35.09
IRAS25,23.8767,23.6079,22.2580,24.3900,23.3421,23.1021,23.0659,14.9700,10.0234,11.2592,0.6688,35.9191,4.28907E-15,7.97
IRAS60,61.4459,60.3699,54.5695,63.3790,59.3127,52.8094,58.0207,53.8919,30.4317,32.7622,0.5646,39.9327,1.06394E-16,1.29
IRAS100,101.9433,101.1267,96.9972,103.5466,100.3167,99.6179,99.4636,69.8599,33.2387,32.2401,0.4754,42.2860,1.21782E-17,0.42
IRAC_3.6,3.5573,3.5508,3.5204,3.5701,3.5443,3.5375,3.5400,0.8893,0.6836,0.7432,0.3639,27.9174,6.80809E-12,286.32
IRAC_4.5,4.5049,4.4960,4.4543,4.5228,4.4870,4.4785,4.4786,1.3434,0.8650,1.0097,0.3529,28.9037,2.74485E-12,185.07
IRAC_5.8,5.7386,5.7245,5.6564,5.7664,5.7104,5.6999,5.6972,1.6151,1.2562,1.3912,0.1105,29.9163,1.08012E-12,118.07
IRAC_8.0,7.9274,7.8842,7.6741,8.0118,7.8413,7.7845,7.8010,3.3582,2.5292,2.8311,0.2365,31.2516,3.15764E-13,65.47
IRS_16,16.0478,15.9222,15.4020,16.3590,15.7975,15.7463,15.7090,22.8531,4.7674,5.4763,0.6163,34.2569,1.98254E-14,16.77
IRS_22,22.6224,22.4704,21.7563,22.9355,22.3193,22.2729,22.1796,18.7995,7.0115,7.3067,0.8122,35.7499,5.01246E-15,8.44
MIPS_24,23.8436,23.7592,23.3583,24.0181,23.6750,23.6079,23.5923,12.6666,5.2969,5.3248,0.4181,36.0180,3.91555E-15,7.37
MIPS_70,72.5564,71.9861,69.3644,73.7885,71.4202,70.8090,70.9157,60.4363,21.3011,18.9838,0.3527,40.8081,4.75089E-17,0.82
MIPS_160,156.9627,156.4274,153.6888,158.0193,155.8939,155.4756,155.3366,92.3398,35.7629,34.5528,0.3872,44.2365,2.02017E-18,0.16
ACS_F330W,0.3522,0.3521,0.3523,0.3525,0.3520,0.3485,0.3593,0.0474,0.0261,0.0272,0.0454,21.2385,3.19592E-09,1321.74
ACS_F410W,0.4069,0.4064,0.4096,0.4078,0.4059,0.4535,0.3954,0.0890,0.0522,0.0543,0.2040,20.4195,6.79505E-09,3743.07
ACS_F435W,0.4338,0.4328,0.4341,0.4358,0.4318,0.3892,0.3940,0.1330,0.0863,0.0935,0.2387,20.4608,6.54181E-09,4087.92
ACS_F475W,0.4766,0.4747,0.4710,0.4802,0.4728,0.4812,0.4805,0.1781,0.1359,0.1437,0.2807,20.6676,5.40703E-09,4064.13
ACS_F555W,0.5373,0.5361,0.5333,0.5398,0.5349,0.5339,0.5329,0.1715,0.1125,0.1240,0.2408,21.0244,3.89261E-09,3731.78
ACS_F606W,0.5960,0.5922,0.5812,0.6035,0.5883,0.5895,0.5917,0.2601,0.1996,0.2323,0.3588,21.3334,2.92845E-09,3425.32
ACS_F625W,0.6325,0.6312,0.6267,0.6352,0.6298,0.6295,0.6307,0.1715,0.1308,0.1416,0.3372,21.5483,2.40256E-09,3192.67
ACS_F775W,0.7707,0.7694,0.7654,0.7732,0.7682,0.7682,0.7680,0.1874,0.1320,0.1511,0.3011,22.2032,1.31439E-09,2595.74
ACS_F814W,0.8086,0.8059,0.7987,0.8142,0.8031,0.7990,0.8000,0.2891,0.1739,0.1856,0.2654,22.3391,1.15969E-09,2512.22
ACS_F850LP,0.9030,0.9016,0.8994,0.9060,0.9001,0.9006,0.9006,0.2534,0.1247,0.1210,0.1230,22.6773,8.49320E-10,2302.73
WFC3_UV1_F200LP,0.5371,0.4974,0.5133,0.6087,0.4606,0.6570,0.5899,0.8892,0.5820,0.5982,0.1851,21.3147,2.97923E-09,2458.33
WFC3_UV2_F200LP,0.5371,0.4974,0.5133,0.6087,0.4606,0.6570,0.5899,0.8892,0.5820,0.5982,0.1848,21.3147,2.97923E-09,2458.33
WFC3_F218W,0.2233,0.2229,0.2233,0.2242,0.2224,0.3635,0.3786,0.0570,0.0330,0.0340,0.0239,20.8017,4.77894E-09,791.70
WFC3_F225W,0.2379,0.2372,0.2374,0.2392,0.2365,0.2350,0.2335,0.0975,0.0467,0.0470,0.0404,20.9087,4.33036E-09,812.62
WFC3_F336W,0.3359,0.3355,0.3359,0.3366,0.3351,0.3371,0.3523,0.0714,0.0512,0.0550,0.1403,21.1944,3.32855E-09,1249.55
WFC3_UV1_F350LP,0.6076,0.5857,0.5547,0.6509,0.5646,0.6140,0.6009,0.7731,0.4751,0.4821,0.1791,21.3782,2.81004E-09,3215.75
WFC3_UV2_F350LP,0.6076,0.5857,0.5547,0.6509,0.5646,0.6140,0.6009,0.7723,0.4751,0.4821,0.1767,21.3782,2.81004E-09,3215.75
WFC3_F390W,0.3935,0.3924,0.4023,0.3956,0.3914,0.4522,0.3885,0.1247,0.0893,0.0948,0.1763,20.5639,5.94869E-09,3055.96
WFC3_F438W,0.4331,0.4326,0.4324,0.4340,0.4322,0.3884,0.3983,0.0849,0.0614,0.0673,0.1745,20.4103,6.85275E-09,4278.69
WFC3_F475W,0.4792,0.4774,0.4734,0.4829,0.4755,0.4763,0.4835,0.1671,0.1342,0.1481,0.2154,20.6805,5.34326E-09,4061.51
WFC3_UV1_F487N,0.4871,0.4871,0.4873,0.4872,0.4871,0.4849,0.4871,0.0098,0.0060,0.0061,0.1571,21.0134,3.93214E-09,3112.59
WFC3_UV2_F487N,0.4871,0.4871,0.4873,0.4872,0.4871,0.4849,0.4871,0.0098,0.0060,0.0061,0.1588,21.0134,3.93214E-09,3112.59
WFC3_F555W,0.5335,0.5308,0.5238,0.5389,0.5282,0.5309,0.5293,0.2846,0.1564,0.1579,0.1558,20.9843,4.03892E-09,3796.05
WFC3_UV1_F600LP,0.7516,0.7450,0.7278,0.7654,0.7386,0.7347,0.7385,0.5016,0.2305,0.2184,0.1326,22.0692,1.48706E-09,2753.45
WFC3_UV2_F600LP,0.7516,0.7450,0.7278,0.7654,0.7386,0.7347,0.7385,0.5016,0.2305,0.2184,0.1312,22.0692,1.48706E-09,2753.45
WFC3_F606W,0.5925,0.5887,0.5783,0.5999,0.5850,0.5917,0.5883,0.2561,0.2184,0.2298,0.2472,21.3170,2.97294E-09,3437.24
WFC3_F625W,0.6258,0.6241,0.6188,0.6291,0.6225,0.6222,0.6241,0.1762,0.1460,0.1573,0.2323,21.5086,2.49207E-09,3238.08
WFC3_UV1_F689M,0.6879,0.6876,0.6872,0.6886,0.6873,0.6870,0.6873,0.0913,0.0683,0.0707,0.1872,21.8478,1.82341E-09,2875.92
WFC3_UV2_F689M,0.6879,0.6876,0.6872,0.6886,0.6873,0.6870,0.6873,0.0913,0.0683,0.0707,0.1868,21.8478,1.82341E-09,2875.92
WFC3_F775W,0.7660,0.7648,0.7611,0.7684,0.7637,0.7642,0.7636,0.1752,0.1170,0.1455,0.1555,22.1828,1.33934E-09,2613.48
WFC3_F814W,0.8058,0.8030,0.7955,0.8117,0.8001,0.7956,0.7962,0.2746,0.1540,0.1518,0.1303,22.3259,1.17397E-09,2524.73
WFC3_UV1_F845M,0.8442,0.8438,0.8427,0.8450,0.8434,0.8410,0.8430,0.1141,0.0789,0.0879,0.0979,22.5155,9.85847E-10,2341.12
WFC3_UV2_F845M,0.8442,0.8438,0.8427,0.8450,0.8434,0.8410,0.8430,0.1143,0.0789,0.0879,0.0995,22.5155,9.85847E-10,2341.12
WFC3_F098m,0.9877,0.9864,0.9828,0.9903,0.9852,0.9872,0.9842,0.2085,0.1570,0.1694,0.3524,22.9160,6.81702E-10,2212.63
WFC3_F105W,1.0585,1.0551,1.0432,1.0652,1.0517,1.0560,1.0530,0.3290,0.2650,0.2917,0.4149,23.1459,5.51635E-10,2048.30
WFC3_F125W,1.2516,1.2486,1.2365,1.2576,1.2456,1.2455,1.2436,0.3427,0.2845,0.3005,0.4553,23.7673,3.11218E-10,1618.43
WFC3_F140W,1.3969,1.3922,1.3733,1.4061,1.3875,1.3804,1.3840,0.4438,0.3842,0.3941,0.4807,24.1788,2.13053E-10,1377.41
WFC3_F160W,1.5392,1.5370,1.5279,1.5436,1.5348,1.5322,1.5341,0.3302,0.2682,0.2874,0.4481,24.5692,1.48698E-10,1171.80
WFPC2_F218W,0.2214,0.2207,0.2205,0.2228,0.2200,0.3769,0.3781,0.0510,0.0451,0.0436,0.0026,20.7838,4.85820E-09,789.30
WFPC2_F300W,0.3013,0.2992,0.3039,0.3066,0.2972,0.2382,0.5499,0.1473,0.0857,0.0867,0.0116,21.0950,3.64742E-09,1089.44
WFPC2_F450W,0.4574,0.4556,0.4547,0.4608,0.4539,0.3830,0.3831,0.1730,0.0875,0.1078,0.0439,20.5907,5.80384E-09,4019.36
WFPC2_F555W,0.5468,0.5442,0.5373,0.5519,0.5417,0.5437,0.5416,0.2717,0.1456,0.1558,0.0604,21.0621,3.75986E-09,3714.54
WFPC2_F606W,0.6035,0.6001,0.5902,0.6101,0.5967,0.6009,0.5993,0.2677,0.1888,0.2002,0.1017,21.3763,2.81505E-09,3381.55
WFPC2_F702W,0.6945,0.6919,0.6841,0.6997,0.6893,0.6885,0.6884,0.2613,0.1666,0.1875,0.0920,21.8481,1.82293E-09,2910.78
WFPC2_F814W,0.8029,0.8002,0.7930,0.8087,0.7974,0.7930,0.7938,0.2859,0.1485,0.1455,0.0548,22.3159,1.18478E-09,2530.29
NIC2_F110W,1.1353,1.1235,1.0840,1.1575,1.1119,1.1232,1.1204,0.6564,0.4284,0.5272,0.1111,23.3646,4.50974E-10,1898.82
NIC2_F160W,1.6074,1.6030,1.5859,1.6159,1.5987,1.5932,1.5959,0.5042,0.3416,0.4013,0.1681,24.7184,1.29607E-10,1110.96
NIC3_F110W,1.1326,1.1200,1.0788,1.1561,1.1076,1.1142,1.1156,0.6568,0.4253,0.5883,0.1013,23.3547,4.55131E-10,1904.49
NIC3_F160W,1.6085,1.6042,1.5872,1.6169,1.5999,1.5965,1.5968,0.4967,0.3394,0.3987,0.1595,24.7213,1.29270E-10,1109.63
NIRCAM_F070W,0.7066,0.7046,0.6991,0.7114,0.7027,0.7053,0.7048,0.1896,0.1325,0.1600,0.1732,21.9113,1.71987E-09,2848.45
NIRCAM_F090W,0.9047,0.9025,0.8988,0.9093,0.9003,0.9039,0.9039,0.2383,0.1943,0.2101,0.2599,22.6730,8.52676E-10,2316.81
NIRCAM_F115W,1.1570,1.1543,1.1435,1.1624,1.1515,1.1526,1.1523,0.3155,0.2246,0.2683,0.2792,23.4729,4.08160E-10,1813.92
NIRCAM_F140M,1.4060,1.4053,1.4024,1.4074,1.4046,1.4064,1.4038,0.2186,0.1425,0.1478,0.2786,24.2262,2.03956E-10,1343.59
NIRCAM_F150W,1.5040,1.5007,1.4873,1.5104,1.4975,1.4974,1.4961,0.4093,0.3180,0.3371,0.3510,24.4711,1.62767E-10,1222.81
NIRCAM_F150W2,1.7039,1.6588,1.4796,1.7864,1.6150,1.6383,1.5932,1.6908,1.1753,1.3255,0.3248,24.7096,1.30667E-10,1199.33
NIRCAM_F162M,1.6281,1.6272,1.6244,1.6297,1.6264,1.6255,1.6263,0.2522,0.1683,0.1714,0.2940,24.7932,1.20984E-10,1068.60
NIRCAM_F164N,1.6446,1.6445,1.6446,1.6446,1.6445,1.6386,1.6441,0.0602,0.0200,0.0179,0.1433,24.8561,1.14173E-10,1029.98
NIRCAM_F182M,1.8466,1.8452,1.8389,1.8494,1.8437,1.8423,1.8435,0.3335,0.2377,0.2460,0.3430,25.2723,7.78176E-11,883.75
NIRCAM_F187N,1.8739,1.8739,1.8737,1.8740,1.8739,1.8698,1.8731,0.0651,0.0237,0.0211,0.1650,25.3720,7.09931E-11,831.55
NIRCAM_F200W,1.9934,1.9886,1.9681,2.0028,1.9839,1.9803,1.9828,0.5611,0.4566,0.4717,0.4016,25.5530,6.00903E-11,792.68
NIRCAM_F210M,2.0964,2.0955,2.0908,2.0982,2.0945,2.0956,2.0946,0.2955,0.2065,0.2090,0.3391,25.7709,4.91626E-11,720.06
NIRCAM_F212N,2.1213,2.1213,2.1212,2.1214,2.1213,2.1191,2.1213,0.0698,0.0275,0.0246,0.1900,25.8186,4.70509E-11,706.25
NIRCAM_F250M,2.5038,2.5032,2.5006,2.5049,2.5027,2.5046,2.5026,0.2410,0.1800,0.1826,0.2979,26.4931,2.52780E-11,528.36
NIRCAM_F277W,2.7694,2.7618,2.7280,2.7845,2.7542,2.7476,2.7471,0.8977,0.6828,0.7111,0.3129,26.8793,1.77123E-11,450.64
NIRCAM_F300M,2.9908,2.9892,2.9819,2.9941,2.9875,2.9862,2.9852,0.5259,0.3153,0.3264,0.2353,27.2152,1.29998E-11,387.46
NIRCAM_F322W2,3.2668,3.2320,3.0736,3.3335,3.1976,3.1789,3.1733,1.7937,1.3563,1.5827,0.3959,27.4646,1.03319E-11,359.99
NIRCAM_F323N,3.2370,3.2369,3.2368,3.2370,3.2369,3.2368,3.2375,0.0836,0.0385,0.0386,0.1466,27.5412,9.62799E-12,336.50
NIRCAM_F335M,3.3640,3.3621,3.3539,3.3676,3.3603,3.3592,3.3582,0.6118,0.3520,0.3608,0.2626,27.6991,8.32451E-12,313.89
NIRCAM_F356W,3.5768,3.5684,3.5287,3.5935,3.5600,3.5553,3.5532,1.0833,0.7811,0.8407,0.3766,27.9334,6.70861E-12,284.94
NIRCAM_F360M,3.6260,3.6242,3.6148,3.6298,3.6223,3.6238,3.6219,0.6447,0.3700,0.3873,0.2885,28.0119,6.24078E-12,273.42
NIRCAM_F405N,4.0517,4.0517,4.0516,4.0517,4.0516,4.0475,4.0515,0.1108,0.0455,0.0460,0.1736,28.5039,3.96684E-12,217.21
NIRCAM_F410M,4.0844,4.0822,4.0723,4.0887,4.0801,4.0791,4.0790,0.7083,0.4379,0.4375,0.3096,28.5111,3.94060E-12,219.05
NIRCAM_F430M,4.2818,4.2813,4.2785,4.2829,4.2807,4.2806,4.2811,0.3664,0.2277,0.2312,0.3109,28.7127,3.27266E-12,200.09
NIRCAM_F444W,4.4157,4.4040,4.3496,4.4392,4.3923,4.4440,4.3830,2.6004,1.0316,1.1055,0.2042,28.8119,2.98700E-12,193.24
NIRCAM_F460M,4.6293,4.6285,4.6229,4.6308,4.6276,4.6253,4.6192,0.4007,0.2288,0.2323,0.2433,29.0433,2.41358E-12,172.47
NIRCAM_F466N,4.6545,4.6544,4.6540,4.6545,4.6544,4.6496,4.6544,0.1311,0.0536,0.0520,0.1347,29.0995,2.29198E-12,165.62
NIRCAM_F470N,4.7078,4.7078,4.7078,4.7079,4.7078,4.7054,4.7077,0.1196,0.0510,0.0495,0.1299,29.1127,2.26424E-12,167.39
NIRCAM_F480M,4.8181,4.8167,4.8094,4.8206,4.8154,4.8314,4.8197,0.5449,0.3073,0.3145,0.2253,29.2044,2.08078E-12,161.03
MIRI_F560W,5.6462,5.6362,5.5880,5.6661,5.6262,5.6138,5.6161,1.6516,0.9980,1.1178,0.1893,29.8562,1.14167E-12,120.97
